subject,description,category
Handball rules,Can you help me with this? How is handball played?,Handball Sports
Help with vision test,Where can I get my vision checked?,Eye Medical
Credit score,How can I improve my credit score?,Finance
Career advice,Need advice for growing my software engineering career.,Employment
Help with indoor plants,Best indoor plants for apartments.,Gardening
Spin bowling,Can you help me with this? Tips for spin bowling practice.,Cricket Sports
Indoor plants,Best indoor plants for apartments.,Gardening
Help with race preparation,How to prepare for a running race?,Running Sports
Help with academic citation,How to cite sources in APA format?,University Education
workplace communication,I need advice about workplace communication. Need help writing a professional work email.,Employment
Open savings account,I want to open a new savings account with a local bank.,Banking
Resume review,Need feedback on my resume for software roles.,Employment
head pressure,I need advice about head pressure. I feel pressure in my head.,Head Medical
Contact lens issue,My contact lenses are irritating my eyes.,Eye Medical
buy shares,I need advice about buy shares. How can I buy company shares?,Stocks
Help with dessert place,Best dessert shops in the city.,Food
Help with hockey drills,Need hockey team practice drills.,Hockey Sports
Library books,Can you help me with this? How can I borrow books from a public library?,Books
Job opening,Can you help me with this? Find current job openings in my city.,Jobs
Running shoes,Can you help me with this? Best shoes for long distance running.,Running Sports
Technical analysis,How do technical indicators work?,Stocks
Find roommates,Can you help me with this? Looking for roommates for a shared rental.,Rental
Meal prep,Give me healthy meal prep ideas for the week.,Cooking
healthy food,I need advice about healthy food. Suggest healthy food options for lunch.,Food
Admission essay,Can you help me with this? How do I write a strong college admission essay?,College Admissions
School admission,Need help enrolling my child in school.,School
food assistance,I need advice about food assistance. Need help finding free meals and support services.,Homelessness
Thumb pain,Can you help me with this? My thumb hurts when I move it.,Hand Medical
Marriage proposal,Can you help me with this? Need help responding to a marriage proposal.,Matrimonial
formal shirt,I need advice about formal shirt. Looking for formal shirts for office interviews.,Clothes
flight cancellation,I need advice about flight cancellation. My flight was cancelled and I need help.,Travel
Breakfast recipe,Can you help me with this? Need quick breakfast recipes before work.,Cooking
Help with hand fracture,I may have a hand fracture after falling.,Hand Medical
school bus,I need advice about school bus. How do I register for school bus service?,School
low motivation,I need advice about low motivation. I have no motivation and feel tired all the time.,Depression Medical
saving money,I need advice about saving money. Give me tips to save money every month.,Finance
Help with history homework,Need help with grade 8 history assignment.,Middle School Education
Study guide books,Can you help me with this? I need exam preparation books for high school.,Books
Help with eye pain,My eyes hurt when I use my laptop.,Eye Medical
Help with sat preparation,I want to prepare for the SAT exam.,College Admissions
Essay writing,How to write a high school English essay?,High School Education
School policy,Need information about school attendance policy.,School
research paper,I need advice about research paper. How do I write an academic research paper?,University Education
Sightseeing tour,Need sightseeing places in the city.,Tourism
World cup,Can you help me with this? Latest cricket world cup updates.,Cricket Sports
Help with soil improvement,How do I improve soil for gardening?,Gardening
Data structures,Can you help me with this? Need help with algorithms and data structures.,University Education
Red eyes,My eyes are red after wearing contacts.,Eye Medical
Interview preparation,How should I prepare for a job interview?,Employment
Help with flower garden,Need tips for growing flowers at home.,Gardening
hotel booking,I need advice about hotel booking. Looking for affordable hotels for my trip.,Travel
database class,I need advice about database class. Help understanding database normalization.,University Education
Student loan,Can you help me with this? Need advice on paying student loans.,Finance
Dinner ideas,Need easy dinner recipes for beginners.,Cooking
Bank statement request,I need a copy of my recent bank statement.,Banking
Herb garden,How do I grow basil and mint at home?,Gardening
Soup recipe,Can you help me with this? How do I make homemade tomato soup?,Cooking
Basketball coaching,Can you help me with this? Looking for basketball coaching nearby.,Basketball Sports
Tennis rules,Explain basic tennis scoring rules.,Tennis Sports
Foot pain,Can you help me with this? My foot hurts when standing.,Leg Medical
Help with backhand practice,How to improve tennis backhand?,Tennis Sports
Bake cake,Can you help me with this? How can I bake a chocolate cake without eggs?,Cooking
Help with dinner ideas,Need easy dinner recipes for beginners.,Cooking
Retirement investing,How should I invest for retirement?,Investing
Meal prep,Can you help me with this? Give me healthy meal prep ideas for the week.,Cooking
herb garden,I need advice about herb garden. How do I grow basil and mint at home?,Gardening
indoor handball,I need advice about indoor handball. Tips for indoor handball practice.,Handball Sports
Spin bowling,Tips for spin bowling practice.,Cricket Sports
Head pain,Sharp pain on one side of my head.,Head Medical
Help with yellow leaves,My plant leaves are turning yellow.,Gardening
Leg fracture,Can you help me with this? I think I may have fractured my leg.,Leg Medical
Book summary,Can you help me with this? Can you suggest books with short summaries?,Books
Help with jogging injury,How to avoid injuries while jogging?,Jogging Sports
Help with property search,Looking for houses for sale in my area.,Housing
neurology symptoms,I need advice about neurology symptoms. Need information about neurological symptoms.,Brain Medical
Crypto risk,Can you help me with this? Is cryptocurrency investing risky?,Investing
wrist pain,I need advice about wrist pain. My wrist hurts after typing all day.,Hand Medical
story reading,I need advice about story reading. Suggest story reading practice for kids.,Elementary Education
Brain injury,I had a head impact and worry about brain injury.,Brain Medical
kids science,I need advice about kids science. Explain simple science experiments for young children.,Elementary Education
pasta recipe,I need advice about pasta recipe. How do I cook creamy pasta at home?,Cooking
Scholarship help,Looking for scholarships for international students.,College Admissions
baseball coaching,I need advice about baseball coaching. Looking for baseball coaching nearby.,Baseball Sports
multiplication tables,I need advice about multiplication tables. How to teach multiplication tables to kids?,Elementary Education
Jogging shoes,Need comfortable shoes for jogging.,Jogging Sports
shin pain,I need advice about shin pain. My shins hurt after running.,Leg Medical
Chicken recipe,Can you help me with this? How should I cook chicken breast properly?,Cooking
Book recommendations,Can you help me with this? Recommend good mystery novels to read this month.,Books
Wedding match,Looking for a suitable marriage match.,Matrimonial
Summer outfit,Need ideas for summer outfits and casual wear.,Clothes
account balance issue,I need advice about account balance issue. My bank balance looks incorrect after a recent transaction.,Banking
Mortgage help,How do I apply for a mortgage?,Housing
Jogging fitness,Use jogging to improve fitness.,Jogging Sports
Hockey training,Can you help me with this? How can I improve hockey skills?,Hockey Sports
International trip,Can you help me with this? Need advice for international travel.,Travel
Help with plant care,How often should I water indoor plants?,Gardening
Breakfast spot,Where can I get breakfast nearby?,Food
concussion symptoms,I need advice about concussion symptoms. What are signs of a concussion?,Head Medical
Help with foot pain,My foot hurts when standing.,Leg Medical
ATM withdrawal problem,The ATM charged me but did not give cash.,Banking
Help with school bus,How do I register for school bus service?,School
Handball tournament,Find local handball tournaments.,Handball Sports
Study guide books,I need exam preparation books for high school.,Books
Head injury,I hit my head and feel dizzy.,Head Medical
Help with hockey stick,Need recommendations for a hockey stick.,Hockey Sports
interview preparation,I need advice about interview preparation. How should I prepare for a job interview?,Employment
Indoor plants,Can you help me with this? Best indoor plants for apartments.,Gardening
hand injury,I need advice about hand injury. I injured my hand and need treatment advice.,Hand Medical
sprint practice,I need advice about sprint practice. How can I improve sprint speed?,Running Sports
Help with linkedin profile,How can I improve my LinkedIn profile?,Employment
brain injury,I need advice about brain injury. I had a head impact and worry about brain injury.,Brain Medical
Matchmaking advice,Can you help me with this? How should I evaluate a matrimonial match?,Matrimonial
distance running,I need advice about distance running. Training plan for distance running.,Running Sports
vegan food,I need advice about vegan food. Need vegan food places nearby.,Food
Study schedule,How should a middle school student prepare for exams?,Middle School Education
Help with book summary,Can you suggest books with short summaries?,Books
Pizza place,Where can I get good pizza tonight?,Food
Help with career change,How can I switch from support to software development?,Employment
Indian cooking,How do I make simple Indian curry?,Cooking
5k training,Can you help me with this? Create a beginner 5k running plan.,Running Sports
Help with return item,How do I return an item I bought online?,Shopping
buy laptop,I need advice about buy laptop. Where can I buy a gaming laptop?,Shopping
Help with down payment,Need advice saving for a house down payment.,Housing
Ebook help,Can you help me with this? Where can I buy or download ebooks legally?,Books
Hand fracture,I may have a hand fracture after falling.,Hand Medical
basketball drills,I need advice about basketball drills. Need basketball practice drills.,Basketball Sports
Stock portfolio,Can you help me with this? Need help building a stock portfolio.,Stocks
social studies,I need advice about social studies. Help with middle school social studies homework.,Middle School Education
Account balance issue,My bank balance looks incorrect after a recent transaction.,Banking
portfolio advice,I need advice about portfolio advice. How should I diversify my investment portfolio?,Investing
grand slam,I need advice about grand slam. Latest tennis grand slam updates.,Tennis Sports
Baseball training,Can you help me with this? Need baseball training drills.,Baseball Sports
Rental application,Can you help me with this? How do I apply for an apartment rental?,Rental
seizure concern,I need advice about seizure concern. Need help understanding seizure symptoms.,Brain Medical
Help with vegetarian food,Suggest vegetarian recipes with vegetables and rice.,Cooking
Help with head trauma,Should I see a doctor after head trauma?,Head Medical
Burger recommendation,Looking for the best burger restaurant.,Food
Help with risk tolerance,How do I understand my investment risk level?,Investing
Feeling depressed,I feel sad and hopeless every day.,Depression Medical
Help with grand slam,Latest tennis grand slam updates.,Tennis Sports
Neurologist help,Need a recommendation for a brain specialist.,Brain Medical
Saving money,Give me tips to save money every month.,Finance
Dry eyes,Can you help me with this? My eyes are dry and burning.,Eye Medical
Warehouse job,Looking for warehouse or retail jobs.,Jobs
sneaker outfit,I need advice about sneaker outfit. What clothes match with white sneakers?,Clothes
Emergency fund,Can you help me with this? How much should I keep in an emergency fund?,Finance
Help with hotel booking,Looking for affordable hotels for my trip.,Travel
Security deposit,Can you help me with this? My landlord did not return my security deposit.,Rental
Remote job,Need remote work opportunities.,Jobs
Travel itinerary,Can you help me with this? Plan a 6 day travel itinerary.,Travel
Formal shirt,Can you help me with this? Looking for formal shirts for office interviews.,Clothes
Hand injury,I injured my hand and need treatment advice.,Hand Medical
Cricket bat,Best cricket bat for beginners.,Cricket Sports
Travel itinerary,Plan a 6 day travel itinerary.,Travel
Concussion concern,Can you help me with this? I may have a concussion after an accident.,Brain Medical
soil improvement,I need advice about soil improvement. How do I improve soil for gardening?,Gardening
Help with online banking login issue,I cannot log in to my online banking account.,Banking
Offer decision,Need help comparing two employment offers.,Employment
Chemistry assignment,Explain chemical reactions for high school.,High School Education
return item,I need advice about return item. How do I return an item I bought online?,Shopping
matrimonial profile,I need advice about matrimonial profile. How do I write a good matrimonial profile?,Matrimonial
Help with jogging shoes,Need comfortable shoes for jogging.,Jogging Sports
technical analysis,I need advice about technical analysis. How do technical indicators work?,Stocks
Matrimonial profile,Can you help me with this? How do I write a good matrimonial profile?,Matrimonial
Help with hand injury,I injured my hand and need treatment advice.,Hand Medical
Help with statement of purpose,Need help improving my statement of purpose.,College Admissions
Help with head pressure,I feel pressure in my head.,Head Medical
Handball drills,Can you help me with this? Need handball training drills.,Handball Sports
Geometry basics,Can you help me with this? Explain angles and triangles for middle school.,Middle School Education
Help with final year project,Need ideas for a senior year project.,University Education
stock portfolio,I need advice about stock portfolio. Need help building a stock portfolio.,Stocks
Help with school policy,Need information about school attendance policy.,School
Help with watering schedule,Need a watering schedule for houseplants.,Gardening
Help with school records,How can I request student records?,School
Therapy help,Looking for a therapist for depression.,Depression Medical
Help with sprint practice,How can I improve sprint speed?,Running Sports
Feeling depressed,Can you help me with this? I feel sad and hopeless every day.,Depression Medical
Baseball coaching,Looking for baseball coaching nearby.,Baseball Sports
Need shelter,Can you help me with this? I need emergency shelter tonight.,Homelessness
checking account fees,I need advice about checking account fees. I want to understand monthly fees on my checking account.,Banking
Thesis topic,Need help choosing a thesis topic.,University Education
nhl news,I need advice about nhl news. Latest hockey league updates.,Hockey Sports
Data structures,Need help with algorithms and data structures.,University Education
Help with debt payoff,Need a strategy to pay off credit card debt.,Finance
Dessert place,Can you help me with this? Best dessert shops in the city.,Food
Spelling help,Can you help me with this? My child needs help with spelling words.,Elementary Education
Help with head wound,Need help treating a small head wound.,Head Medical
Handball strategy,Can you help me with this? Need handball team strategy tips.,Handball Sports
Help with school fees,Need information about school tuition fees.,School
road trip,I need advice about road trip. Plan a road trip with hotels and stops.,Travel
Jeans shopping,Can you help me with this? Which jeans brand is good and affordable?,Clothes
School fees,Need information about school tuition fees.,School
compare products,I need advice about compare products. Help me compare products before buying.,Shopping
Pitching practice,Tips to improve baseball pitching.,Baseball Sports
Partner search,Need advice for finding a serious life partner.,Matrimonial
Short term rental,Looking for short-term rental housing.,Rental
Application fee waiver,Can you help me with this? How can I request a college application fee waiver?,College Admissions
Help with baseball rules,Explain basic baseball rules.,Baseball Sports
hockey coaching,I need advice about hockey coaching. Looking for hockey coaching nearby.,Hockey Sports
Landmarks,Can you help me with this? Famous landmarks tourists should see.,Tourism
Depression symptoms,Can you help me with this? What are symptoms of depression?,Depression Medical
Home inspection,What should I check before buying a house?,Housing
Help with family marriage,How to discuss arranged marriage with family?,Matrimonial
Evening jog,Can you help me with this? Is evening jogging better than morning jogging?,Jogging Sports
Help with vegetable garden,I want to start a small vegetable garden.,Gardening
Help with community aid,Looking for charities that help homeless people.,Homelessness
Eye pain,Can you help me with this? My eyes hurt when I use my laptop.,Eye Medical
Watering schedule,Need a watering schedule for houseplants.,Gardening
Student jobs,Can you help me with this? Part-time jobs for college students.,Jobs
Shooting tips,How do I improve basketball shooting?,Basketball Sports
Running form,How can I improve my running form?,Running Sports
depression symptoms,I need advice about depression symptoms. What are symptoms of depression?,Depression Medical
Gym clothes,I want breathable workout clothes for the gym.,Clothes
Brain scan,Do I need a brain scan for recurring headaches?,Brain Medical
Baseball batting,Can you help me with this? How can I improve my baseball batting?,Baseball Sports
contact lens issue,I need advice about contact lens issue. My contact lenses are irritating my eyes.,Eye Medical
Help with gym clothes,I want breathable workout clothes for the gym.,Clothes
Crypto risk,Is cryptocurrency investing risky?,Investing
Help with student jobs,Part-time jobs for college students.,Jobs
Career advice,Can you help me with this? Need advice for growing my software engineering career.,Employment
Fractions help,Need help understanding fractions and decimals.,Middle School Education
Help with retirement investing,How should I invest for retirement?,Investing
Help with shin pain,My shins hurt after running.,Leg Medical
vision test,I need advice about vision test. Where can I get my vision checked?,Eye Medical
finger cut,I need advice about finger cut. Need advice for a deep cut on my finger.,Hand Medical
buy textbooks,I need advice about buy textbooks. I need affordable textbooks for my college classes.,Books
Hockey tournament,Can you help me with this? Find local hockey tournaments.,Hockey Sports
Help with tenant issue,Need help understanding tenant rights.,Rental
Joint pain,My finger joints hurt in the morning.,Hand Medical
Panic attacks,Can you help me with this? How can I manage panic attacks?,Depression Medical
Help with landmarks,Famous landmarks tourists should see.,Tourism
Debit card blocked,My debit card stopped working and I need help unblocking it.,Banking
Help with school admission,Need help enrolling my child in school.,School
Marathon training,How do I train for a marathon?,Running Sports
Help with school presentation,Need topic ideas for a middle school presentation.,Middle School Education
Help with spin bowling,Tips for spin bowling practice.,Cricket Sports
Tennis shoes,Best shoes for tennis court.,Tennis Sports
Help with restaurant nearby,Best restaurants near me for dinner.,Food
school admission,I need advice about school admission. Need help enrolling my child in school.,School
Price deal,Can you help me with this? Find the best price for a product.,Shopping
Distance vision,Can you help me with this? I cannot see clearly from far away.,Eye Medical
running form,I need advice about running form. How can I improve my running form?,Running Sports
SAT math,Need high school math practice for SAT.,High School Education
Wicket keeping,Can you help me with this? How to improve wicket keeping skills?,Cricket Sports
History essay,Can you help me with this? Need help structuring a history essay.,High School Education
GRE admission,Can you help me with this? Do I need GRE scores for graduate admission?,College Admissions
Ball handling,How to improve dribbling skills?,Basketball Sports
housing assistance,I need advice about housing assistance. Looking for low-income housing assistance.,Housing
children books,I need advice about children books. Looking for story books for elementary school children.,Books
Help with marathon training,How do I train for a marathon?,Running Sports
migraine headache,I need advice about migraine headache. I get severe migraines often.,Brain Medical
Red eyes,Can you help me with this? My eyes are red after wearing contacts.,Eye Medical
Help with batting stance,How to improve my batting stance?,Baseball Sports
breakfast spot,I need advice about breakfast spot. Where can I get breakfast nearby?,Food
Help with security deposit,My landlord did not return my security deposit.,Rental
Retirement investing,Can you help me with this? How should I invest for retirement?,Investing
Help with offer decision,Need help comparing two employment offers.,Employment
Help with garden pests,How can I remove pests from my plants?,Gardening
University assignment,Need help with a computer science university assignment.,University Education
Help with bank loan help,I want information about personal loans from a bank.,Banking
Marriage matching,Need help with marriage matchmaking.,Matrimonial
Help with credit card payment,I want to pay my credit card bill through my bank app.,Banking
dizziness after fall,I need advice about dizziness after fall. I feel dizzy after falling and hitting my head.,Head Medical
Help with dry eyes,My eyes are dry and burning.,Eye Medical
landmarks,I need advice about landmarks. Famous landmarks tourists should see.,Tourism
Help with tax filing,Need help filing taxes this year.,Finance
Knee pain,My knee hurts when I walk or run.,Leg Medical
Emergency help,Can you help me with this? I need urgent help with shelter and basic needs.,Homelessness
cognitive issue,I need advice about cognitive issue. I am struggling with focus and memory lately.,Brain Medical
shopping sale,I need advice about shopping sale. When is the next big shopping sale?,Shopping
Science project,Can you help me with this? Ideas for a middle school science fair project.,Middle School Education
Help with shooting tips,How do I improve basketball shooting?,Basketball Sports
Low motivation,I have no motivation and feel tired all the time.,Depression Medical
Yellow leaves,Can you help me with this? My plant leaves are turning yellow.,Gardening
application fee waiver,I need advice about application fee waiver. How can I request a college application fee waiver?,College Admissions
Apartment for rent,Can you help me with this? Need a one bedroom apartment for rent.,Rental
Broken hand,Can you help me with this? How do I know if my hand is broken?,Hand Medical
Weekend work,Can you help me with this? I need weekend work to earn extra money.,Jobs
Marriage matching,Can you help me with this? Need help with marriage matchmaking.,Matrimonial
Mortgage help,Can you help me with this? How do I apply for a mortgage?,Housing
Hotel booking,Can you help me with this? Looking for affordable hotels for my trip.,Travel
Bank loan help,Can you help me with this? I want information about personal loans from a bank.,Banking
Help with admission essay,How do I write a strong college admission essay?,College Admissions
Guided tour,Can you help me with this? Looking for guided city tours.,Tourism
Help with ankle injury,I twisted my ankle during jogging.,Leg Medical
Rent increase,My rent increased and I need advice.,Rental
Museum visit,Can you help me with this? Which museums should tourists visit?,Tourism
vegetarian food,I need advice about vegetarian food. Suggest vegetarian recipes with vegetables and rice.,Cooking
Help with dunk training,How can I improve vertical jump for basketball?,Basketball Sports
Rental listing,Find rental properties near downtown.,Rental
Help with tourist attractions,Best tourist attractions in New York.,Tourism
Jogging injury,Can you help me with this? How to avoid injuries while jogging?,Jogging Sports
remote job,I need advice about remote job. Need remote work opportunities.,Jobs
Breakfast recipe,Need quick breakfast recipes before work.,Cooking
Essay writing,Can you help me with this? How to write a high school English essay?,High School Education
Soil improvement,How do I improve soil for gardening?,Gardening
hockey tournament,I need advice about hockey tournament. Find local hockey tournaments.,Hockey Sports
jogging fitness,I need advice about jogging fitness. Use jogging to improve fitness.,Jogging Sports
Distance running,Training plan for distance running.,Running Sports
Herb garden,Can you help me with this? How do I grow basil and mint at home?,Gardening
Compare products,Can you help me with this? Help me compare products before buying.,Shopping
Meal recommendation,What should I eat for dinner?,Food
Statement of purpose,Can you help me with this? Need help improving my statement of purpose.,College Admissions
Help with cricket gear,What equipment is needed for cricket?,Cricket Sports
Bank loan help,I want information about personal loans from a bank.,Banking
Gift shopping,Need gift ideas to buy online.,Shopping
Vacation package,Find tourism packages for couples.,Tourism
shelter application,I need advice about shelter application. How do I apply for a homeless shelter?,Homelessness
crypto risk,I need advice about crypto risk. Is cryptocurrency investing risky?,Investing
Help with morning jogging,Best morning jogging routine for beginners.,Jogging Sports
Help with school uniform,Where can I buy school uniforms?,School
Buy shares,Can you help me with this? How can I buy company shares?,Stocks
Help with hip pain,My hip and upper leg hurt while walking.,Leg Medical
Market news,Latest stock market news.,Stocks
Help with physics homework,Need help understanding force and motion.,High School Education
Stress management,Can you help me with this? Need help managing stress and anxiety.,Depression Medical
Elementary homework,Can you help me with this? Need help with grade 3 homework.,Elementary Education
atm withdrawal problem,I need advice about atm withdrawal problem. The ATM charged me but did not give cash.,Banking
Expense tracking,Can you help me with this? Best way to track daily expenses.,Finance
Road trip,Can you help me with this? Plan a road trip with hotels and stops.,Travel
Phonics practice,Can you help me with this? Looking for phonics activities for children.,Elementary Education
Account balance issue,Can you help me with this? My bank balance looks incorrect after a recent transaction.,Banking
Neurology symptoms,Can you help me with this? Need information about neurological symptoms.,Brain Medical
Discount coupon,Can you help me with this? Need discount coupons and deals.,Shopping
Breakfast spot,Can you help me with this? Where can I get breakfast nearby?,Food
Flight cancellation,Can you help me with this? My flight was cancelled and I need help.,Travel
Guided tour,Looking for guided city tours.,Tourism
Help with marriage matching,Need help with marriage matchmaking.,Matrimonial
Tennis tournament,Can you help me with this? Find local tennis tournaments.,Tennis Sports
Help with job opening,Find current job openings in my city.,Jobs
Goalie practice,Can you help me with this? Tips for hockey goalie training.,Hockey Sports
handball team,I need advice about handball team. How to join a handball team?,Handball Sports
court practice,I need advice about court practice. Need tips for indoor basketball practice.,Basketball Sports
Jogging injury,How to avoid injuries while jogging?,Jogging Sports
tennis rules,I need advice about tennis rules. Explain basic tennis scoring rules.,Tennis Sports
Eye pain,My eyes hurt when I use my laptop.,Eye Medical
Pasta recipe,How do I cook creamy pasta at home?,Cooking
Hip pain,My hip and upper leg hurt while walking.,Leg Medical
cricket academy,I need advice about cricket academy. Find a cricket coaching academy nearby.,Cricket Sports
Vision test,Can you help me with this? Where can I get my vision checked?,Eye Medical
NHL news,Can you help me with this? Latest hockey league updates.,Hockey Sports
Joint pain,Can you help me with this? My finger joints hurt in the morning.,Hand Medical
Head pain,Can you help me with this? Sharp pain on one side of my head.,Head Medical
Application fee waiver,How can I request a college application fee waiver?,College Admissions
Forehand drills,Need forehand tennis drills.,Tennis Sports
Garden pests,Can you help me with this? How can I remove pests from my plants?,Gardening
Help with basketball drills,Need basketball practice drills.,Basketball Sports
jogging weight loss,I need advice about jogging weight loss. Can jogging help with weight loss?,Jogging Sports
Evening jog,Is evening jogging better than morning jogging?,Jogging Sports
Help with clothes for wedding,What should I wear to a wedding event?,Clothes
property search,I need advice about property search. Looking for houses for sale in my area.,Housing
Help with running pace,What pace should I run for a 10k?,Running Sports
Help with basketball rules,Explain basketball fouls and rules.,Basketball Sports
Python book,Can you help me with this? What is a good book for learning Python programming?,Books
Help with gre admission,Do I need GRE scores for graduate admission?,College Admissions
Help with budget planning,How can I manage my monthly expenses?,Finance
packing list,I need advice about packing list. What should I pack for a trip?,Travel
Help with learn alphabet,How can my child learn ABC letters?,Elementary Education
Stock risk,What are risks of trading stocks?,Stocks
basketball shoes,I need advice about basketball shoes. Best basketball shoes for indoor court.,Basketball Sports
Help with museum visit,Which museums should tourists visit?,Tourism
Online banking login issue,I cannot log in to my online banking account.,Banking
school records,I need advice about school records. How can I request student records?,School
tennis racket,I need advice about tennis racket. Best tennis racket for beginners.,Tennis Sports
Shopping sale,When is the next big shopping sale?,Shopping
Vegan food,Need vegan food places nearby.,Food
Grammar practice,Can you help me with this? Middle school English grammar exercises needed.,Middle School Education
Scalp pain,My scalp hurts after an injury.,Head Medical
Help with running shoes,Best shoes for long distance running.,Running Sports
Headache problem,I have a constant headache today.,Head Medical
Buy shares,How can I buy company shares?,Stocks
Help with job websites,Best websites to find jobs.,Jobs
Academic citation,Can you help me with this? How to cite sources in APA format?,University Education
Hockey gear,Can you help me with this? What equipment is needed for hockey?,Hockey Sports
school presentation,I need advice about school presentation. Need topic ideas for a middle school presentation.,Middle School Education
gre admission,I need advice about gre admission. Do I need GRE scores for graduate admission?,College Admissions
Dessert place,Best dessert shops in the city.,Food
Investing basics,How do I start investing as a beginner?,Investing
City tour,Need a city tour plan for tourists.,Tourism
Market news,Can you help me with this? Latest stock market news.,Stocks
crisis support,I need advice about crisis support. Need immediate help because I have nowhere to stay.,Homelessness
Leg cramps,I get muscle cramps in my legs.,Leg Medical
Yellow leaves,My plant leaves are turning yellow.,Gardening
Help with tennis coaching,Looking for tennis lessons nearby.,Tennis Sports
Help with bowling practice,Need tips for fast bowling.,Cricket Sports
recommendation letters,I need advice about recommendation letters. How many recommendation letters are needed for admission?,College Admissions
budget planning,I need advice about budget planning. How can I manage my monthly expenses?,Finance
leg fracture,I need advice about leg fracture. I think I may have fractured my leg.,Leg Medical
Stock portfolio,Need help building a stock portfolio.,Stocks
Help with crypto risk,Is cryptocurrency investing risky?,Investing
Help with food delivery,Need cheap food delivery options.,Food
chicken recipe,I need advice about chicken recipe. How should I cook chicken breast properly?,Cooking
Help with basketball coaching,Looking for basketball coaching nearby.,Basketball Sports
Handball equipment,What equipment is needed for handball?,Handball Sports
Internship search,Looking for summer internships.,Jobs
Help with university selection,Which universities are good for computer science?,College Admissions
Help with neurology symptoms,Need information about neurological symptoms.,Brain Medical
Rent increase,Can you help me with this? My rent increased and I need advice.,Rental
Cooking tips,Can you help me with this? I am new to cooking and need basic kitchen tips.,Cooking
Help with headache problem,I have a constant headache today.,Head Medical
Help with social studies,Help with middle school social studies homework.,Middle School Education
High school exams,Can you help me with this? How should I prepare for board exams?,High School Education
Help with tennis rules,Explain basic tennis scoring rules.,Tennis Sports
Budget planning,How can I manage my monthly expenses?,Finance
college application,I need advice about college application. I need help applying to universities for admission.,College Admissions
Help with handball drills,Need handball training drills.,Handball Sports
basic math help,I need advice about basic math help. Need help teaching addition and subtraction to a child.,Elementary Education
Help with red eyes,My eyes are red after wearing contacts.,Eye Medical
science project,I need advice about science project. Ideas for a middle school science fair project.,Middle School Education
Cheap flights,Can you help me with this? Need cheap flight tickets for vacation.,Travel
Help with stock portfolio,Need help building a stock portfolio.,Stocks
Basketball tournament,Can you help me with this? Find local basketball tournaments.,Basketball Sports
Workplace communication,Need help writing a professional work email.,Employment
Track running,Can you help me with this? Need advice for track running practice.,Running Sports
broken hand,I need advice about broken hand. How do I know if my hand is broken?,Hand Medical
Help with spelling help,My child needs help with spelling words.,Elementary Education
Investing basics,Can you help me with this? How do I start investing as a beginner?,Investing
Open savings account,Can you help me with this? I want to open a new savings account with a local bank.,Banking
Sneaker outfit,What clothes match with white sneakers?,Clothes
partner search,I need advice about partner search. Need advice for finding a serious life partner.,Matrimonial
tourist visa,I need advice about tourist visa. Need help with tourist visa requirements.,Travel
Help with calf pain,My calf muscle hurts after workout.,Leg Medical
Running endurance,Tips to build running endurance.,Running Sports
Help with nhl news,Latest hockey league updates.,Hockey Sports
Tennis coaching,Looking for tennis lessons nearby.,Tennis Sports
Restaurant nearby,Can you help me with this? Best restaurants near me for dinner.,Food
Dunk training,How can I improve vertical jump for basketball?,Basketball Sports
Park jogging,Best parks for jogging nearby.,Jogging Sports
Help with portfolio advice,How should I diversify my investment portfolio?,Investing
Help with tennis shoes,Best shoes for tennis court.,Tennis Sports
Park jogging,Can you help me with this? Best parks for jogging nearby.,Jogging Sports
race preparation,I need advice about race preparation. How to prepare for a running race?,Running Sports
High school project,Can you help me with this? Ideas for a high school research project.,High School Education
ETF investment,What are good ETFs for long-term investing?,Investing
Matrimonial app,Can you help me with this? Which matrimonial apps are trustworthy?,Matrimonial
hockey stick,I need advice about hockey stick. Need recommendations for a hockey stick.,Hockey Sports
Find roommates,Looking for roommates for a shared rental.,Rental
Help with weekend work,I need weekend work to earn extra money.,Jobs
Student jobs,Part-time jobs for college students.,Jobs
hockey gear,I need advice about hockey gear. What equipment is needed for hockey?,Hockey Sports
Jogging weight loss,Can jogging help with weight loss?,Jogging Sports
Tourist attractions,Can you help me with this? Best tourist attractions in New York.,Tourism
jogging plan,I need advice about jogging plan. Create a weekly jogging plan.,Jogging Sports
stock trading,I need advice about stock trading. How do I buy and sell stocks online?,Stocks
Help with counseling nearby,Find counseling services for mental health.,Depression Medical
Mutual funds,Can you help me with this? Need advice about mutual fund investing.,Investing
School records,How can I request student records?,School
Community aid,Looking for charities that help homeless people.,Homelessness
Find life partner,Can you help me with this? Looking for matrimonial websites to find a life partner.,Matrimonial
Family housing,Can you help me with this? Need housing suitable for a family.,Housing
Baseball gear,Can you help me with this? What equipment is needed for baseball?,Baseball Sports
jogging breathing,I need advice about jogging breathing. How should I breathe while jogging?,Jogging Sports
Help with world cup,Latest cricket world cup updates.,Cricket Sports
Homeless support,Looking for community support because I am homeless.,Homelessness
Help with electronics store,Recommend electronics shopping websites.,Shopping
Homeless resources,Find local resources for people without housing.,Homelessness
cricket gear,I need advice about cricket gear. What equipment is needed for cricket?,Cricket Sports
Neurology symptoms,Need information about neurological symptoms.,Brain Medical
Stock prediction,Can you help me with this? Need help analyzing stock price movement.,Stocks
Vegetable garden,I want to start a small vegetable garden.,Gardening
